817	4	-999	-999	1
818	2	4	2	1
819	3	-999	-999	1
820	4	7	4	1
821	4	5	8	0
822	-999	9	6	1
823	3	-999	-999	0
824	-999	8	2	0
825	4	6	10	0
826	2	4	11	1
827	4	9	12	0
828	-999	5	3	0
829	-999	9	5	1
830	3	-999	-999	1
831	4	-9	-9	0
832	4	-999	-999	0
833	-999	2	10	1
834	-999	4	8	1
835	-999	8	2	0
836	4	8	2	0
837	4	-9	-9	0
838	2	4	4	1
839	4	7	3	0
840	4	6	12	1
841	2	-999	-999	1
842	2	-999	-999	0
843	4	9	10	1
844	4	-999	-999	1
845	4	-999	-999	1
846	2	2	11	1
847	1	-999	-999	1
848	-999	-999	-999	1
849	-999	3	10	0
850	4	9	6	-999
851	1	4	2	1
852	3	5	2	0
853	-999	1	2	0
854	-999	-999	-999	0
855	-999	-999	-999	1
856	4	9	2	0
857	-999	7	6	1
858	-999	4	11	1
859	3	-999	-999	0
860	4	-999	-999	1
861	2	-9	-9	1
862	2	7	8	1
863	-999	-999	-999	0
864	4	-999	-999	0
865	2	-999	-999	1
866	-999	2	10	1
867	3	5	3	0
868	-999	8	2	0
869	2	4	2	1
870	1	1	2	-999
871	4	-999	-999	1
872	-999	8	6	1
873	1	1	2	0
874	-999	4	9	1
875	3	7	4	-999
876	-999	2	10	1
877	4	9	6	0
878	-999	-999	-999	1
879	1	2	10	0
880	-999	-999	-999	1
881	-999	-999	-999	1
882	-999	2	11	0
883	1	2	2	1
884	-999	1	4	0
885	-999	-999	-999	1
886	2	-999	-999	1
887	4	9	11	1
